Time (s),Grid Freq (Hz),RoCoF (Hz/s),Gear,Input Shaft RPM,Gen RPM,Torque (Nm),Target RPM,Injected Power (kW)
2.7600000000000002,49.500986635785864,0.19713246713806143,12,3000,1500.0,180.0,1500,28.274333882308138
2.77,49.50394264934276,0.3934869424895737,12,3000,1500.0,180.0,1500,28.274333882308138
2.7800000000000002,49.508856374635656,0.5882885046460729,12,3000,1500.0,180.0,1500,28.274333882308138
2.79,49.51570841943568,0.7807683608383797,12,3000,1500.0,180.0,1500,28.274333882308138
2.8000000000000003,49.52447174185242,0.9701668810095043,12,3000,1500.0,180.0,1500,28.274333882308138
2.81,49.53511175705587,1.155736595728385,12,3000,1500.0,180.0,1500,28.274333882308138
2.82,49.54758647376699,1.3367451461096636,12,3000,1500.0,180.0,1500,28.274333882308138
2.83,49.561846659978066,1.5124781741000959,12,3000,1500.0,180.0,1500,28.274333882308138
2.84,49.57783603724899,1.6822421417231226,12,3000,1500.0,180.0,1500,28.274333882308138
2.85,49.59549150281253,1.8453670681555678,12,3000,1500.0,180.0,1500,28.274333882308138
2.86,49.614743378612104,2.0012091738383475,12,3000,1500.0,180.0,1500,28.274333882308138
2.87,49.635515686289295,2.1491534211776298,12,3000,1500.0,180.0,1500,28.274333882308138
2.88,49.65772644703566,2.2886159418181506,12,3000,1500.0,180.0,1500,28.274333882308138
2.89,49.68128800512566,2.41904634090524,12,3000,1500.0,180.0,1500,28.274333882308138
2.9,49.70610737385376,2.5399298692420302,12,3000,1500.0,180.0,1500,28.274333882308138
2.91,49.7320866025105,2.6507894547691535,12,3000,1500.0,180.0,1500,28.274333882308138
2.92,49.759123162949145,2.751187585348447,12,3000,1500.0,180.0,1500,28.274333882308138
2.93,49.78711035421747,2.8407280354258546,12,3000,1500.0,180.0,1500,28.274333882308138
2.94,49.81593772365766,2.9190574297530247,12,3000,1500.0,180.0,1500,28.274333882308138
2.95,49.84549150281253,2.9858666379954713,12,3000,1500.0,180.0,1500,28.274333882308138
2.96,49.87565505641757,3.0408919947305435,12,3000,1500.0,180.0,1500,28.274333882308138
2.97,49.90630934270714,3.0839163400138148,12,3000,1500.0,180.0,1500,28.274333882308138
2.98,49.93733338321785,3.1147698764101506,12,3000,1500.0,180.0,1500,28.274333882308138
2.99,49.96860474023534,3.1333308391076287,12,3000,1500.0,180.0,1500,28.274333882308138
3.0,50.0,3.1395259764657624,12,3000,1500.0,180.0,1500,28.274333882308138
3.0100000000000002,50.03139525976466,3.1333308391076287,12,3000,1500.0,180.0,1500,28.274333882308138
3.02,50.06266661678215,3.1147698764101506,12,3000,1500.0,180.0,1500,28.274333882308138
3.0300000000000002,50.09369065729286,3.0839163400138148,12,3000,1500.0,180.0,1500,28.274333882308138
3.04,50.12434494358243,3.0408919947305435,12,3000,1500.0,180.0,1500,28.274333882308138
3.0500000000000003,50.15450849718747,2.9858666379954713,12,3000,1500.0,180.0,1500,28.274333882308138
